"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","response"
"84.54499999970722","<h2 style=""color:white;"">Now we will have you rate some pictures for how <b>positive</b>, how <b>negative</b>, and how <b>arousing</b> they make you feel.</h2> <h3 style=""color:white;"">Please press the number on top of your keybaord that corresponds to your choice.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","10","4958","0.0-1.0-9.0","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","5961","0.0-2.0-0.0","fixation",""
"null","","null","html-keyboard-response","12","8962","0.0-2.0-1.0","",""
"1386.4599999997154","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","53","html-keyboard-response","13","10350","0.0-2.0-2.0","pleasant","5"
"null","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/PleasantScale5.jpg'>","null","html-keyboard-response","14","12352","0.0-2.0-3.0","",""
"null","","null","html-keyboard-response","15","15357","0.0-2.0-4.0","",""
"472.90500000053726","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","53","html-keyboard-response","16","15832","0.0-2.0-5.0","unpleasant","5"
"null","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/UnpleasantScale5.jpg'>","null","html-keyboard-response","17","17839","0.0-2.0-6.0","",""
"null","","null","html-keyboard-response","18","20842","0.0-2.0-7.0","",""
"592.9900000010093","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","19","21437","0.0-2.0-8.0","arousal","5"
"null","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","20","23443","0.0-2.0-9.0","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","24445","0.0-2.0-0.1","fixation",""
"null","","null","html-keyboard-response","22","27450","0.0-2.0-1.1","",""
"271.76000000144995","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","53","html-keyboard-response","23","27724","0.0-2.0-2.1","pleasant","5"
"null","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/PleasantScale5.jpg'>","null","html-keyboard-response","24","29730","0.0-2.0-3.1","",""
"null","","null","html-keyboard-response","25","32733","0.0-2.0-4.1","",""
"634.7500000010768","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","53","html-keyboard-response","26","33370","0.0-2.0-5.1","unpleasant","5"
"null","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/UnpleasantScale5.jpg'>","null","html-keyboard-response","27","35372","0.0-2.0-6.1","",""
"null","","null","html-keyboard-response","28","38374","0.0-2.0-7.1","",""
"845.6300000016199","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","29","39221","0.0-2.0-8.1","arousal","5"
"null","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","30","41225","0.0-2.0-9.1","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","42228","0.0-2.0-0.2","fixation",""
"null","","null","html-keyboard-response","32","45233","0.0-2.0-1.2","",""
"595.2199999992445","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","53","html-keyboard-response","33","45832","0.0-2.0-2.2","pleasant","5"
"null","<h2 style=""color:white; text-align:center;"">How pleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/PleasantScale5.jpg'>","null","html-keyboard-response","34","47837","0.0-2.0-3.2","",""
"null","","null","html-keyboard-response","35","50843","0.0-2.0-4.2","",""
"545.5450000008568","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","53","html-keyboard-response","36","51391","0.0-2.0-5.2","unpleasant","5"
"null","<h2 style=""color:white; text-align:center;"">How unpleasant?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/UnpleasantScale5.jpg'>","null","html-keyboard-response","37","53394","0.0-2.0-6.2","",""
"null","","null","html-keyboard-response","38","56400","0.0-2.0-7.2","",""
"584.1350000009697","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","39","56986","0.0-2.0-8.2","arousal","5"
"null","<h2 style=""color:white; text-align:center;"">How arousing/exciting?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","40","58992","0.0-2.0-9.2","",""
"null","<p style='color:white;'>You have completed this task. Please wait for the experimenter to continue.</p><p style='color:white;'>Data Saving...Do not close this window until the text dissapears.”</p>","null","html-keyboard-response","41","68994","0.0-3.0","",""
