"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","condition","descriptor","test_part","trial","pleasant_rating","unpleasant_rating","arousal_rating"
"147.66500005498528","<h2 style=""color:white;"">Now we will have you rate some pictures for how <b>positive</b>, how <b>negative</b>, and how <b>arousing</b> they make you feel.</h2> <h3 style=""color:white;"">Please press the number on top of your keybaord that corresponds to your choice.</h3> <p style=""color:white;""> Press the spacebar to continue.</p>","32","html-keyboard-response","10","2296","0.0-1.0-9.0","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","3298","0.0-2.0-0.0","","","","","","",""
"387.25499995052814","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","50","html-keyboard-response","12","3688","0.0-2.0-1.0","negative","hospital","pleasant","1","2","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/PleasantScale2.jpg'>","null","html-keyboard-response","13","5694","0.0-2.0-2.0","","","","","","",""
"491.24499992467463","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","50","html-keyboard-response","14","6187","0.0-2.0-3.0","negative","hospital","unpleasant","1","","2",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/UnpleasantScale2.jpg'>","null","html-keyboard-response","15","8191","0.0-2.0-4.0","","","","","","",""
"403.47500005736947","<h2 style=""color:white; text-align:center;"">How calm--excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","52","html-keyboard-response","16","8596","0.0-2.0-5.0","negative","hospital","unpleasant","1","","","4"
"null","<h2 style=""color:white; text-align:center;"">How calm--excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2205.bmp'><img class='center' src='scale/ArousalScale4.jpg'>","null","html-keyboard-response","17","10603","0.0-2.0-6.0","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","18","11608","0.0-2.0-0.1","","","","","","",""
"653.019999852404","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","19","12263","0.0-2.0-1.1","positive","puppies","pleasant","2","1","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","20","14265","0.0-2.0-2.1","","","","","","",""
"549.1299999412149","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","21","14816","0.0-2.0-3.1","positive","puppies","unpleasant","2","","1",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/UnpleasantScale1.jpg'>","null","html-keyboard-response","22","16821","0.0-2.0-4.1","","","","","","",""
"9604.12499983795","<h2 style=""color:white; text-align:center;"">How calm--excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","23","26427","0.0-2.0-5.1","positive","puppies","unpleasant","2","","","5"
"null","<h2 style=""color:white; text-align:center;"">How calm--excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/1710.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","24","28431","0.0-2.0-6.1","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","29437","0.0-2.0-0.2","","","","","","",""
"308.9499999769032","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScalePleasant.png'>","52","html-keyboard-response","26","29748","0.0-2.0-1.2","neutral","man","pleasant","3","4","",""
"null","<h2 style=""color:white; text-align:center;"">How positive?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/PleasantScale4.jpg'>","null","html-keyboard-response","27","31751","0.0-2.0-2.2","","","","","","",""
"448.7850000150502","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","51","html-keyboard-response","28","32202","0.0-2.0-3.2","neutral","man","unpleasant","3","","3",""
"null","<h2 style=""color:white; text-align:center;"">How negative?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/UnpleasantScale3.jpg'>","null","html-keyboard-response","29","34206","0.0-2.0-4.2","","","","","","",""
"401.20500000193715","<h2 style=""color:white; text-align:center;"">How calm--excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","30","34609","0.0-2.0-5.2","neutral","man","unpleasant","3","","","5"
"null","<h2 style=""color:white; text-align:center;"">How calm--excited?</h2> <img class='center' style='height: 300px; width=450px;' src='stim/2190.bmp'><img class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","31","36613","0.0-2.0-6.2","","","","","","",""
"null","<p style='color:white;'>You have completed this task. Please wait for the experimenter to continue.</p><p style='color:white;'>Data Saving...do not close this window until the text dissapears.</p>","null","html-keyboard-response","32","46616","0.0-3.0","","","","","","",""
